Method,MH01,MH02,MH03,MH04,MH05,V101,V102,V103,V201,V202,V203,Avg
Monocular
VI DSO,0.06,0.04,0.12,0.13,0.12,0.06,0.07,0.10,0.04,0.06,-,0.08
OKVIS,0.34,0.36,0.30,0.48,0.47,0.12,0.16,0.24,0.12,0.22,-,0.28
VINS FUSION,0.18,0.09,0.17,0.21,0.25,0.06,0.09,0.18,0.06,0.11,-,0.14
Stereo
OKVIS,0.23,0.15,0.23,0.32,0.36,0.04,0.08,0.13,0.10,0.17,-,0.18
VINS FUSION,0.24,0.18,0.23,0.39,0.19,0.10,0.10,0.11,0.12,0.10,-,0.18
IS VIO,0.06,0.06,0.10,0.24,0.19,0.06,0.10,0.26,0.08,0.21,-,0.14
Basalt,0.07,0.06,0.07,0.13,0.11,0.04,0.05,0.10,0.04,0.05,-,0.072
